"","year","age","sex","maritl","race","education","region","jobclass","health","health_ins","wage"
"43",2005,32,"1. Male","2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",148.413159102577
"44",2006,62,"1. Male","2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",73.7757432746946
"45",2007,27,"1. Male","1. Never Married",NA,"2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good",NA,82.6796372966372
"46",2009,40,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",166.879383279962
"47",2008,45,"1. Male","2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",200.543262324662
"48",2007,49,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",94.0727147457005
"49",2008,53,"1. Male","4. Divorced","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",176.989650489877
"50",2004,50,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",54.5981500331442
"51",2009,45,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",130.982177377461
"52",2006,53,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",89.2428846644714
"53",2008,49,"1. Male","2. Married","2. Black","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",99.6894636984864
"54",2003,33,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",123.089699847943
"55",2003,62,"1. Male","3. Widowed","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",62.0303046060726
"56",2009,61,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",122.263673892802
"57",2004,35,"1. Male","2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",137.590142766506
"58",2008,42,"1. Male","1. Never Married","2. Black","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",78.9846061809321
"59",2007,44,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",59.0970640815891
"60",2008,42,"1. Male","2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",176.989650489877
"61",2009,62,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",109.833985642199
"62",2004,36,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",87.9810327856054
"63",2005,52,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",137.590142766506
"64",2006,46,"1. Male","4. Divorced","1. White","3. Some College","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",95.2307125669819
"65",2007,51,"1. Male","4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",94.0727147457005
"66",2008,37,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",121.430313822622
"67",2009,45,"1. Male","1. Never Married","2. Black","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",82.6796372966372
"68",2007,NA,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",81.226746312023
"69",2003,63,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",123.089699847943
"70",NA,28,"1. Male",NA,"1. White","2. HS Grad","2. Middle Atlantic",NA,"2. >=Very Good","2. No",66.2294082943902
"71",2003,37,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",118.019753340006
"72",2004,55,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",109.833985642199
"73",2009,61,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",160.642475408263
"74",2006,41,"1. Male","2. Married","3. Asian","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",82.6796372966372
"75",2005,56,"1. Male","4. Divorced","2. Black","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",75.3556793180091
"76",2006,31,"1. Male","1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",81.2832532842527
"77",2005,54,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",170.156834417801
"78",2007,38,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",160.642475408263
"79",2005,41,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",94.0727147457005
"80",2006,55,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",101.82435207568
"81",2004,40,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",87.9810327856054
"82",2008,39,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",103.90247060316
"83",2007,51,"1. Male","2. Married","2. Black","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",191.573683548412
"84",2003,23,"1. Male","1. Never Married","2. Black","1. < HS Grad","2. Middle Atlantic","2. Information","1. <=Good","2. No",87.9810327856054
"85",2006,31,"1. Male","1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",94.0727147457005
"86",2003,48,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",78.3924668009837
"87",2005,35,"1. Male","4. Divorced","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",98.5993438603892
"88",2004,32,"1. Male","1. Never Married","3. Asian","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",118.884359339886
"89",2008,25,"1. Male",NA,"1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good",NA,118.884359339886
"90",2008,53,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",105.927810775063
"91",2008,25,"1. Male","1. Never Married","2. Black","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",84.0459576539924
"92",2006,35,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",114.475713290347
"93",2004,38,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",102.870246933215
"94",2005,42,"1. Male","1. Never Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",104.921506533664
"95",2003,23,"1. Male","1. Never Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",90.4819133566401
"96",2005,66,"1. Male","1. Never Married","2. Black","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",92.8958447894966
"97",2004,31,"1. Male","1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",101.82435207568
"98",2004,33,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",134.705375118879
"99",2004,35,"1. Male","1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",75.3556793180091
"100",2005,34,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",94.0727147457005
"101",2007,23,"1. Male","1. Never Married",NA,"3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",73.7757432746946
"102",2006,36,"1. Male","2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",179.214858036271
"103",2009,33,"1. Male","1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",99.6894636984864
"104",2003,33,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",107.903923866876
"105",2006,54,"1. Male","5. Separated","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",148.413159102577
"106",2009,38,"1. Male","2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",180.779952229859
"107",2008,40,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",88.8164739741151
"108",2008,28,"1. Male",NA,"1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",101.82435207568
"109",2009,45,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",118.884359339886
"110",2003,43,"1. Male","2. Married","3. Asian","1. < HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",65.1108537153447
"111",2008,28,"1. Male","1. Never Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",106.369647181498
"112",2003,40,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",87.9810327856054
"113",2009,32,"1. Male","1. Never Married","2. Black","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",91.6992261117042
"114",2004,23,"1. Male","1. Never Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",72.1504556815713
"115",2005,49,"1. Male","2. Married","2. Black","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",117.146816914805
"116",2008,46,"1. Male","2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",276.778413321176
"117",2007,45,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",130.983694295002
"118",2004,38,"1. Male","2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",148.413159102577
"119",2009,32,"1. Male","1. Never Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",115.375038556391
"120",2005,37,"1. Male","3. Widowed","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",87.9810327856054
"121",2004,60,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",129.453644576625
"122",NA,26,"1. Male","1. Never Married","1. White","3. Some College","2. Middle Atlantic",NA,NA,"1. Yes",73.7757432746946
"123",2007,58,"1. Male","4. Divorced","1. White","3. Some College","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",111.720849360989
"124",2006,51,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",128.680488220624
"125",2003,63,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",109.833985642199
"126",2006,59,"1. Male","2. Married","2. Black","3. Some College","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",108.874525834712
"127",2009,50,"1. Male","2. Married","1. White","1. < HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",92.8958447894966
"128",2006,37,"1. Male","4. Divorced","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",109.833985642199
"129",2009,32,"1. Male","2. Married","3. Asian","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",138.299126920883
"130",2005,28,"1. Male","2. Married","3. Asian","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",130.982177377461
"131",NA,27,"1. Male","2. Married","1. White",NA,"2. Middle Atlantic","1. Industrial",NA,NA,99.6894636984864
"132",2004,22,"1. Male","1. Never Married","2. Black","3. Some College","2. Middle Atlantic","2. Information","1. <=Good","2. No",95.2307125669819
"133",2006,49,"1. Male","4. Divorced","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",103.90247060316
"134",2004,54,"1. Male","2. Married","2. Black","2. HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",109.833985642199
"135",2003,42,"1. Male","2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",148.413159102577
"136",2007,55,"1. Male","4. Divorced","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",147.116689159978
"137",2003,49,"1. Male","1. Never Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",130.982177377461
"138",2009,34,"1. Male","1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",87.9810327856054
"139",2005,30,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",105.927810775063
"140",2008,NA,"1. Male","1. Never Married","1. White","3. Some College","2. Middle Atlantic",NA,NA,"2. No",81.2832532842527
"141",2003,44,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",91.6992261117042
"142",2005,38,"1. Male","1. Never Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",97.4932940453934
"143",2008,25,"1. Male","1. Never Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",130.982177377461
"144",2006,62,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",128.680488220624
"145",2009,NA,"1. Male","1. Never Married","1. White",NA,"2. Middle Atlantic",NA,"2. >=Very Good","2. No",94.0727147457005
"146",2006,49,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",123.908567597957
"147",2005,30,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",99.6894636984864
"148",2004,56,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",120.926701544426
"149",2008,38,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",94.0727147457005
"150",2007,47,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",126.323880709786
"151",2005,51,"1. Male","4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",67.1792914754174
"152",2004,33,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","1. <=Good","2. No",87.9810327856054
"153",2009,27,"1. Male","1. Never Married","2. Black","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",102.870246933215
"154",2003,40,"1. Male","4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",95.2307125669819
"155",2005,39,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",79.8549003093467
"156",2005,35,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",97.4932940453934
"157",2007,45,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",92.7913480810133
"158",2003,39,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",128.680488220624
"159",2005,37,"1. Male","1. Never Married","3. Asian","4. College Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",109.833985642199
"160",2005,44,"1. Male","2. Married","3. Asian","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",94.0727147457005
"161",2003,45,"1. Male","4. Divorced","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",143.134940811134
"162",2007,45,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",148.413159102577
"163",2006,54,"1. Male","2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",73.7757432746946
"164",2006,56,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",127.115743812184
"165",2004,28,"1. Male","1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",96.9340904570115
"166",2008,45,"1. Male","1. Never Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",36.6737041960799
"167",2006,32,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",99.6894636984864
"168",2003,44,"1. Male","2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",99.6894636984864
"169",2007,39,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",163.515863976238
"170",2008,41,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",121.430313822622
"171",2006,60,"1. Male","2. Married","2. Black","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",120.926701544426
"172",2003,40,"1. Male","2. Married","4. Other","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",118.884359339886
"173",2003,64,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","1. <=Good","2. No",107.903923866876
"174",2003,41,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",130.982177377461
"175",2005,64,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","1. <=Good","2. No",49.5553381215226
"176",2009,38,"1. Male","4. Divorced","1. White","3. Some College","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",109.833985642199
"177",2005,39,"1. Male","2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",116.265324062503
"178",2007,41,"1. Male","4. Divorced","1. White","1. < HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",97.4932940453934
"179",2005,51,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",101.402052302992
"180",2009,34,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",114.475713290347
"181",2009,47,"1. Male","2. Married","2. Black","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",92.8958447894966
"182",2008,45,"1. Male","2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",160.642475408263
"183",2009,53,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",130.982177377461
"184",2007,38,"1. Male","2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",171.765132627508
"185",2003,42,"1. Male","1. Never Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",123.908567597957
"186",2006,50,"1. Male","2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",176.989650489877
"187",2008,47,"1. Male","4. Divorced","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",107.903923866876
"188",2005,25,"1. Male","1. Never Married","1. White",NA,"2. Middle Atlantic",NA,"2. >=Very Good","2. No",70.8150386167557
"189",2005,30,"1. Male","1. Never Married","1. White","3. Some College","2. Middle Atlantic","2. Information","1. <=Good","2. No",81.2832532842527
"190",2006,28,"1. Male","1. Never Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",104.921506533664
"191",2006,20,"1. Male","1. Never Married","2. Black","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",75.0431540173515
"192",2003,74,"1. Male","3. Widowed","2. Black","4. College Grad","2. Middle Atlantic","2. Information","1. <=Good","2. No",70.4760196469445
"193",2005,41,"1. Male","2. Married","2. Black","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",130.982177377461
"194",NA,NA,"1. Male","1. Never Married","1. White",NA,"2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",91.6992261117042
"195",2005,47,"1. Male","2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",87.9810327856054
"196",2009,39,"1. Male","2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",144.47808766541
"197",2005,44,"1. Male","5. Separated","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",118.884359339886
"198",2005,44,"1. Male","2. Married","2. Black","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",99.6894636984864
"199",2006,50,"1. Male","2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",212.842352315711
"200",2009,36,"1. Male","2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",77.4976813877358
